hf_index,nodes,edges,temporal_edges,similarity_edges,similarity_edges_per_node,segmentation_mode
557,15,94,28,66,4.4,beat_2
558,12,64,22,42,3.5,beat_2
559,9,56,16,40,4.444444444444445,beat_2
560,14,88,26,62,4.428571428571429,beat_2
561,10,60,18,42,4.2,beat_2
562,10,60,18,42,4.2,beat_2
563,8,46,14,32,4.0,beat_2
564,8,44,14,30,3.75,beat_2
565,6,28,10,18,3.0,beat_2
566,8,44,14,30,3.75,beat_2
567,11,64,20,44,4.0,beat_2
568,8,46,14,32,4.0,beat_2
569,10,56,18,38,3.8,beat_2
570,16,98,30,68,4.25,beat_2
571,8,46,14,32,4.0,beat_2
572,10,62,18,44,4.4,beat_2
573,10,56,18,38,3.8,beat_2
574,8,44,14,30,3.75,beat_2
575,14,82,26,56,4.0,beat_2
576,12,74,22,52,4.333333333333333,beat_2
577,10,62,18,44,4.4,beat_2
578,9,54,16,38,4.222222222222222,beat_2
579,12,72,22,50,4.166666666666667,beat_2
580,10,58,18,40,4.0,fixed_1s
581,14,88,26,62,4.428571428571429,beat_2
582,13,80,24,56,4.3076923076923075,beat_2
583,9,50,16,34,3.7777777777777777,beat_2
584,10,58,18,40,4.0,beat_2
585,11,68,20,48,4.363636363636363,beat_2
586,8,46,14,32,4.0,beat_2
587,16,98,30,68,4.25,beat_2
588,12,72,22,50,4.166666666666667,beat_2
589,11,62,20,42,3.8181818181818183,beat_2
590,5,20,8,12,2.4,beat_2
591,14,80,26,54,3.857142857142857,beat_2
592,8,42,14,28,3.5,beat_2
593,6,30,10,20,3.3333333333333335,beat_2
594,11,70,20,50,4.545454545454546,beat_2
595,9,50,16,34,3.7777777777777777,beat_2
596,9,50,16,34,3.7777777777777777,beat_2
597,9,50,16,34,3.7777777777777777,beat_2
598,10,62,18,44,4.4,beat_2
599,11,58,20,38,3.4545454545454546,beat_2
600,10,60,18,42,4.2,fixed_1s
601,7,38,12,26,3.7142857142857144,beat_2
602,12,70,22,48,4.0,beat_2
603,5,20,8,12,2.4,beat_2
604,11,64,20,44,4.0,beat_2
605,8,44,14,30,3.75,beat_2
606,11,62,20,42,3.8181818181818183,beat_2
607,11,66,20,46,4.181818181818182,beat_2
608,8,46,14,32,4.0,beat_2
609,11,64,20,44,4.0,beat_2
610,10,62,18,44,4.4,fixed_1s
611,13,76,24,52,4.0,beat_2
612,14,90,26,64,4.571428571428571,beat_2
613,8,44,14,30,3.75,beat_2
614,9,48,16,32,3.5555555555555554,beat_2
615,10,58,18,40,4.0,beat_2
616,7,38,12,26,3.7142857142857144,beat_2
617,8,46,14,32,4.0,beat_2
618,11,68,20,48,4.363636363636363,beat_2
619,9,48,16,32,3.5555555555555554,beat_2
620,6,28,10,18,3.0,beat_2
621,12,66,22,44,3.6666666666666665,beat_2
622,5,20,8,12,2.4,beat_2
623,8,46,14,32,4.0,beat_2
624,6,30,10,20,3.3333333333333335,beat_2
625,12,78,22,56,4.666666666666667,beat_2
626,11,58,20,38,3.4545454545454546,beat_2
627,8,42,14,28,3.5,beat_2
628,10,58,18,40,4.0,beat_2
629,11,62,20,42,3.8181818181818183,beat_2
630,8,44,14,30,3.75,beat_2
631,10,62,18,44,4.4,beat_2
632,12,72,22,50,4.166666666666667,beat_2
633,12,66,22,44,3.6666666666666665,beat_2
634,7,36,12,24,3.4285714285714284,beat_2
635,10,54,18,36,3.6,beat_2
636,11,66,20,46,4.181818181818182,beat_2
637,8,44,14,30,3.75,beat_2
